央视频道,#genre#

卫视频道,#genre#
甘肃卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225754/1.m3u8
甘肃卫视,http://111.75.151.236:50085/newlive/live/hls/41/live.m3u8
甘肃卫视,http://218.13.170.98:9901/tsfile/live/0141_1.m3u8
甘肃卫视,http://125.210.152.19:9123/live/hszx-gstv-h264.m3u8
甘肃卫视,http://58.220.219.14:9901/tsfile/live/0141_1.m3u8?key=txiptv
甘肃卫视,http://219.147.3.106:4455/newlive/live/hls/47/live.m3u8
甘肃卫视,http://61.182.33.218:8000/hls/39/index.m3u8
甘肃卫视,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel57/index.m3u8
甘肃卫视,http://angtv.cc/jd/gdlz.php?id=gsws
甘肃卫视,http://gmxw.7766.org:808/hls/119/index.m3u8
甘肃卫视,http://angtv.cc/test/lngd.php?id=119
甘肃卫视,http://api2.52tb.xyz/info?id=46&token=20230326xflvzc
甘肃卫视,http://php.jdshipin.com:8880/bst.php?id=gswshd8m/8000000
甘肃卫视,https://cntv.lat/tv/live.php?auth=231110&id=gsws
广西卫视,http://222.84.98.48:4200/udp/239.81.0.107:4056
广西卫视,http://113.12.72.152:9901/tsfile/live/1024_1.m3u8
广西卫视,http://111.75.151.236:50085/newlive/live/hls/37/live.m3u8
广西卫视,http://125.210.152.19:9123/live/hszx-gxtv-h264.m3u8
广西卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225770/1.m3u8
广西卫视,http://120.7.86.41:808/hls/33/index.m3u8
广西卫视,http://61.182.33.218:8000/hls/34/index.m3u8
广西卫视,http://219.147.3.106:4455/newlive/live/hls/39/live.m3u8
广西卫视,http://58.220.219.14:9901/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://php.jdshipin.com:8880/bst.php?id=gxwshd8m/8000000
广西卫视,https://live.goodiptv.club/api/bestv.php?id=gxwshd8m/8000000
广西卫视,http://218.13.170.98:9901/tsfile/live/1019_1.m3u8
江西卫视,http://xxw.me0.cn/api/migu.php?id=26
江西卫视,http://111.75.151.236:50085/newlive/live/hls/16/live.m3u8
江西卫视,http://125.210.152.19:9123/live/hzgq-jxwsgq-h264.m3u8
江西卫视,http://219.147.3.106:4455/newlive/live/hls/36/live.m3u8
江西卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225764/1.m3u8
江西卫视,http://php.jdshipin.com:8880/bst.php?id=jxwshd/4000000
四川卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225768/1.m3u8
四川卫视,http://125.210.152.19:9123/live/hszx-sctv-h264.m3u8
四川卫视,http://111.75.151.236:50085/newlive/live/hls/43/live.m3u8
四川卫视,http://113.57.109.36:9901/tsfile/live/0123_1.m3u8
四川卫视,http://219.147.3.106:4455/newlive/live/hls/34/live.m3u8
四川卫视,http://php.jdshipin.com:8880/bst.php?id=scwshd8m/8000000
深圳卫视,http://219.147.3.106:4455/newlive/live/hls/25/live.m3u8
深圳卫视,http://58.220.219.14:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://111.75.151.236:50085/newlive/live/hls/26/live.m3u8
深圳卫视,http://gmxw.7766.org:808/hls/45/index.m3u8
深圳卫视,http://218.13.170.98:9901/tsfile/live/1005_1.m3u8
深圳卫视,http://125.210.152.19:9123/live/hzgq-szwsgq-h264.m3u8
深圳卫视,http://115.149.139.141:10001/tsfile/live/1032_1.m3u8
深圳卫视,http://113.57.109.36:9901/tsfile/live/0126_1.m3u8
深圳卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226205/1.m3u8
深圳卫视,http://61.182.33.218:8000/hls/21/index.m3u8
深圳卫视,http://222.240.82.92:9901/tsfile/live/0126_1.m3u8
深圳卫视,http://php.jdshipin.com:8880/bst.php?id=szwshd/4000000

